Segmento PD;PD_3;PD_6;PD_9;PD_12;PD_15;PD_18;PD_21;PD_24;PD_24M
Cheque - 0-0;6,45175E-05;0,00098382;0,001754736;0,002468304;0,003008398;0,003370208;0,003595737;0,003730566;0,003842173
Cheque - 1-89;0,048729215;0,059943493;0,065570124;0,067503421;0,068136287;0,068340209;0,068405584;0,068426508;0,068434877
Credito - 0-0;0,001493643;0,018733698;0,033645494;0,05081102;0,067749739;0,08269327;0,094858462;0,104213872;0,114625537
Credito - 1-14;0,046384781;0,111443865;0,148010734;0,178840397;0,202665898;0,220011997;0,232143126;0,240403236;0,248531046
Credito - 15-89;0,353593569;0,397278365;0,425942765;0,444324437;0,45581145;0,46287753;0,467182742;0,469790696;0,472048998
Factura - 0-0;0,000646336;0,009459811;0,013418425;0,015993636;0,017922993;0,01947227;0,020769381;0,021886264;0,023461591
Factura - 1-14;0,014240921;0,021282253;0,025082689;0,027141731;0,028180701;0,028687158;0,028929988;0,029045505;0,029119568
Factura - 15-29;0,026469154;0,033893625;0,04036478;0,044625913;0,047256327;0,048820261;0,049730259;0,050253271;0,050675176
Factura - 30-44;0,049513302;0,058342618;0,064482018;0,068512644;0,071067652;0,072652957;0,073623892;0,074213899;0,074725924
Factura - 45-59;0,093265491;0,103091596;0,112561604;0,119290328;0,123941668;0,127098656;0,12921556;0,130623725;0,131992918
Factura - 60-89;0,266238663;0,280868365;0,290387186;0,296464623;0,30029917;0,302700767;0,304198008;0,305128785;0,305963551
Otro - 0-0;0,019018182;0,036089043;0,057637444;0,075660599;0,091802477;0,106718999;0,120753528;0,134113306;0,155232691
Otro - 1-89;0,139364543;0,181054724;0,208068503;0,226021068;0,239174737;0,249400028;0,257672515;0,264560666;0,273881485
deterioro;1;1;1;1;1;1;1;1;1
